DeviceNum,Category,XLE_MAC,XB_MAC,XLE_IP,XLE_Version,XB_Version,RSRP_dBm,RSRQ_dB,SNR_dB,RSSI_dBm,RadioEnvConditions,BandInfo_dmcli,Band_actual,EARFCN,BandBW_MHz,CA_Active,CA_TotalBW_MHz,PCI,GlobalCellId,TAC,TimingAdvance_us,CellDistance_km,DL_Mbps,UL_Mbps,Ping_ms,Latency_avg_ms,Latency_min_ms,Latency_max_ms,PacketLoss_pct,SpeedtestServer,ServerDistance_km,Neighbors_IntraFreq,Neighbors_InterFreq,PLMN,UE_InIdle_During_Test,Serving_RSRP_Connected_dBm,Serving_RSRQ_Connected_dB,SNR_During_Test_dB,Timestamp
26,GOOD,d8:9c:8e:00:0b:d1,D4:E2:CB:CF:DC:50,169.254.1.142,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-87,-16,19.6,-56,GOOD,3,eutran-4,2050,10,No,10,227,44125216,44040,,,,117.47,40.77,25.311,20.694,9.174,97.536,0,,,0,1,311048,No,-86.3,-8.9,23.8,2026-06-04T05:15Z
27,GOOD,d8:9c:8e:00:15:bd,1C:9E:CC:21:B8:DC,169.254.1.246,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-89,-8,22.2,-56,GOOD,4,eutran-4,2050,10,No,10,340,41845014,41731,,,,89.67,30.19,64.422,26.275,19.545,134.635,0,,,0,4,311048,No,-86.9,-8.0,20.6,2026-06-04T05:30Z
28,GOOD,,,169.254.1.108,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T05:30Z
29,GOOD,d8:9c:8e:00:16:e4,B8:5E:71:FD:B6:64,169.254.1.148,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-85,-9,15.4,-54,GOOD,2,eutran-2,1025,10,No,10,251,14679822,14592,,,,178.35,40.35,31.821,20.245,13.735,146.774,0,,,2,4,311048,No,-85.6,-13.3,14.4,2026-06-04T05:45Z
30,GOOD,d8:9c:8e:00:17:52,D4:E2:CB:B7:9E:27,169.254.1.114,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p14s1_PROD_sey,-86,-11,12.2,-56,GOOD,4,eutran-4,2050,10,No,10,269,26268192,26114,,,,148.92,22.81,35.32,35.932,15.272,242.283,1,,,1,2,311048,No,-87.3,-10.2,12.0,2026-06-04T06:00Z
31,GOOD,,,169.254.1.126,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T06:00Z
32,GOOD,d8:9c:8e:00:1f:db,0C:FE:7B:C7:91:04,169.254.1.151,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-91,-11,10.2,-58,GOOD,4,eutran-4,2050,10,No,10,402,114688524,37888,,,,124.13,39.86,29.099,17.286,12.230,139.902,0,,,0,4,311048,No,-89.9,-10.7,13.0,2026-06-04T06:15Z
33,GOOD,d8:9c:8e:00:24:27,48:4B:D4:67:51:27,169.254.1.33,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-95,-10,16.4,-71,FAIR,2,eutran-66,67086,10,No,10,118,26096668,25856,,,,129.83,40.29,45.501,19.816,14.021,146.337,1,,,3,3,311048,No,-97.9,-10.1,14.4,2026-06-04T06:30Z
34,GOOD,d8:9c:8e:00:29:a9,8C:6A:8D:49:E7:24,169.254.85.223,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-94,-8,14.0,-63,GOOD,13,eutran-13,5230,10,No,10,490,265449540,26100,,,,186.25,37.89,67.142,27.879,18.238,153.813,0,,,0,0,311048,No,-90.4,-6.7,14.6,2026-06-04T06:45Z
35,GOOD,,,169.254.1.131,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T06:50Z
36,GOOD,d8:9c:8e:00:2d:b9,5C:22:DA:3C:EE:27,169.254.1.191,WNXL11BWL_8.3p7s1_PROD_sey,CGM601TCOM_8.3p5s1_PROD_sey,-88,-12,11.4,-58,GOOD,13,eutran-4,2050,10,No,10,21,51819788,51777,,,,118.56,150.01,34.996,20.228,11.836,81.017,0,,,2,2,311048,No,-87.4,-11.0,13.4,2026-06-04T07:00Z
37,GOOD,,,169.254.1.237,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T07:05Z
38,GOOD,,,169.254.1.216,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T07:05Z
