"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:4e:cf","F8:D0:0E:76:FA:DC",POOR
"d8:9c:8e:00:4e:d9","C4:50:9C:D3:A9:54",POOR
"d8:9c:8e:00:4e:de","AC:4C:A5:43:FD:9B",POOR
"d8:9c:8e:00:4e:ed","D4:E2:CB:D8:97:C0",FAIR
"d8:9c:8e:00:4e:f7","D4:E2:CB:DB:7F:1F",GOOD
"d8:9c:8e:00:4e:fc","B8:A5:35:A0:45:36",FAIR
"d8:9c:8e:00:4f:10","D4:E2:CB:DC:6E:AE",POOR
"d8:9c:8e:00:4f:15","C4:50:9C:0F:37:F8",FAIR
"d8:9c:8e:00:4f:1a","B8:5E:71:40:77:41",FAIR
"d8:9c:8e:00:4f:38","0C:FE:7B:CB:C1:B4",GOOD
"d8:9c:8e:00:4f:47","E4:BF:FA:BB:3B:03",FAIR
"d8:9c:8e:00:4f:56","10:A7:93:09:79:40",POOR
"d8:9c:8e:00:4f:65","A8:70:5D:09:2B:6E",GOOD
"d8:9c:8e:00:4f:74","C4:4F:D5:45:F1:0C",GOOD
"d8:9c:8e:00:4f:83","B8:5E:71:F9:95:1C",GOOD
"d8:9c:8e:00:4f:88","C4:4F:D5:63:F1:24",FAIR
"d8:9c:8e:00:4f:8d","C4:4F:D5:4B:F1:FC",EXCELLENT
"d8:9c:8e:00:4f:a1","E0:DB:D1:F4:9F:21",POOR
"d8:9c:8e:00:4f:d8","B8:A5:35:91:E8:26",FAIR
"d8:9c:8e:00:4f:f1","F8:79:0A:24:20:04",FAIR
"d8:9c:8e:00:4f:f6","70:13:01:E6:45:24",FAIR
"d8:9c:8e:00:50:00","80:DA:C2:78:C3:54",POOR
"d8:9c:8e:00:50:0f","80:DA:C2:7C:56:24",GOOD
"d8:9c:8e:00:50:28","48:BD:CE:86:BD:9C",FAIR
"d8:9c:8e:00:50:37","C4:50:9C:97:5B:4C",POOR
"d8:9c:8e:00:50:41","80:DA:C2:29:06:48",EXCELLENT
"d8:9c:8e:00:50:50","3C:82:C0:D0:B1:11",POOR
"d8:9c:8e:00:50:96","1C:9D:72:DD:5A:E3",GOOD
"d8:9c:8e:00:50:a0","B8:5E:71:FB:27:7C",FAIR
"d8:9c:8e:00:50:aa","70:13:01:62:07:C4",POOR
"d8:9c:8e:00:50:c3","08:A7:C0:3B:D6:4C",POOR
"d8:9c:8e:00:50:c8","40:75:C3:F2:E4:2C",FAIR
"d8:9c:8e:00:50:d7","80:DA:C2:EB:3D:F8",POOR
"d8:9c:8e:00:51:1d","F8:D0:0E:B3:86:54",POOR
"d8:9c:8e:00:51:2c","70:13:01:01:7C:78",POOR
"d8:9c:8e:00:51:31","48:BD:CE:F8:8F:B4",POOR
"d8:9c:8e:00:51:40","80:DA:C2:F1:1C:80",EXCELLENT
"d8:9c:8e:00:51:4f","F8:5E:42:F8:D3:68",GOOD
"d8:9c:8e:00:51:54","C4:50:9C:FC:BF:2C",POOR
"d8:9c:8e:00:51:81","80:DA:C2:83:68:3C",GOOD
"d8:9c:8e:00:51:86","94:04:E3:88:94:A4",POOR
"d8:9c:8e:00:51:9a","48:BD:CE:7F:20:94",FAIR
"d8:9c:8e:00:51:a4","AC:4C:A5:5E:62:1C",GOOD
"d8:9c:8e:00:52:03","CC:F3:C8:70:8B:24",POOR
"d8:9c:8e:00:52:12","1C:9E:CC:12:BB:49",POOR
"d8:9c:8e:00:52:26","10:A7:93:01:79:60",POOR
"d8:9c:8e:00:52:30","40:0F:C1:FE:8A:7C",POOR
"d8:9c:8e:00:52:3f","D4:6C:6D:AB:E2:D6",FAIR
"d8:9c:8e:00:52:44","C4:4F:D5:8E:84:EC",POOR
"d8:9c:8e:00:52:49","B8:5E:71:F0:A9:9C",FAIR
"d8:9c:8e:00:52:58","F4:C1:14:F9:28:A7",POOR
"d8:9c:8e:00:52:62","10:36:AA:D6:DB:34",FAIR
"d8:9c:8e:00:52:76","F8:D0:0E:76:83:2C",FAIR
"d8:9c:8e:00:52:8f","AC:4C:A5:49:A4:80",EXCELLENT
"d8:9c:8e:00:52:9e","B8:5E:71:4B:12:59",FAIR
"d8:9c:8e:00:52:a8","B8:A5:35:97:4D:C6",GOOD
"d8:9c:8e:00:52:b7","1C:9D:72:FE:04:2C",POOR
"d8:9c:8e:00:52:da","F4:C1:14:6C:7B:93",FAIR
"d8:9c:8e:00:52:e4","A8:70:5D:56:C4:B0",POOR
"d8:9c:8e:00:52:ee","80:DA:C2:C1:EA:D2",POOR
"d8:9c:8e:00:52:f8","CC:F3:C8:6A:08:8C",POOR
"d8:9c:8e:00:53:0c","1C:93:7C:17:BF:7C",POOR
"d8:9c:8e:00:53:11","94:04:E3:A4:0C:68",POOR
"d8:9c:8e:00:53:2f","48:BD:CE:47:83:FD",FAIR
"d8:9c:8e:00:53:43","3C:82:C0:E9:88:4B",FAIR
"d8:9c:8e:00:53:57","AC:DB:48:E6:80:2C",POOR
"d8:9c:8e:00:53:61","0C:FE:7B:86:0C:0C",POOR
"d8:9c:8e:00:53:6b","F8:D0:0E:45:C4:E4",POOR
"d8:9c:8e:00:53:a2","1C:93:7C:72:10:59",POOR
"d8:9c:8e:00:53:b1","94:04:E3:8D:5D:54",POOR
"d8:9c:8e:00:53:c5","10:A7:93:19:09:40",POOR
"d8:9c:8e:00:53:d4","40:75:C3:41:8C:1C",POOR
"d8:9c:8e:00:53:f2","D4:E2:CB:9D:3E:64",FAIR
"d8:9c:8e:00:54:1a","F8:D0:0E:A9:6C:DC",POOR
"d8:9c:8e:00:54:47","80:DA:C2:EE:1F:58",POOR
"d8:9c:8e:00:54:65","3C:82:C0:D9:69:15",POOR
"d8:9c:8e:00:54:6a","0C:FE:7B:C1:DC:34",FAIR
"d8:9c:8e:00:54:83","40:75:C3:45:79:8C",EXCELLENT
"d8:9c:8e:00:54:a1","D4:6C:6D:0E:20:DB",POOR
"d8:9c:8e:00:54:bf","10:A7:93:05:D4:A8",FAIR
"d8:9c:8e:00:54:ce","10:A7:93:04:DE:00",POOR
"d8:9c:8e:00:54:dd","A8:70:5D:AB:FB:B2",GOOD
"d8:9c:8e:00:54:e2","1C:9D:72:6F:AC:4C",POOR
"d8:9c:8e:00:54:ec","1C:9D:72:3B:28:E7",FAIR
"d8:9c:8e:00:54:fb","F8:D0:0E:B3:89:6C",POOR
"d8:9c:8e:00:55:0f","10:A7:93:0D:AD:80",FAIR
"d8:9c:8e:00:55:41","80:DA:C2:99:3F:EC",POOR
"d8:9c:8e:00:55:64","48:BD:CE:FE:D6:D4",POOR
"d8:9c:8e:00:55:69","D4:6C:6D:0D:F9:27",FAIR
"d8:9c:8e:00:55:7d","94:04:E3:85:93:04",POOR
"d8:9c:8e:00:55:82","B8:5E:71:FD:F2:44",POOR
"d8:9c:8e:00:55:a0","94:04:E3:F9:3B:CA",POOR
"d8:9c:8e:00:55:aa","E0:DB:D1:25:BA:1A",POOR
"d8:9c:8e:00:55:f0","B8:A5:35:A5:8F:BE",GOOD
"d8:9c:8e:00:56:09","D4:6C:6D:B6:86:CC",POOR
"d8:9c:8e:00:56:18","70:13:01:72:4C:0C",FAIR
"d8:9c:8e:00:56:6d","CC:F3:C8:72:E1:C4",POOR
"d8:9c:8e:00:56:8b","40:75:C3:32:FD:94",POOR
"d8:9c:8e:00:56:f9","70:13:01:28:60:8C",POOR
"d8:9c:8e:00:56:fe","48:BD:CE:F9:63:24",FAIR
"d8:9c:8e:00:57:08","40:75:C3:41:AA:74",POOR
"d8:9c:8e:00:57:17","94:04:E3:FD:69:62",POOR
"d8:9c:8e:00:57:1c","80:DA:C2:28:6C:D0",POOR
"d8:9c:8e:00:57:21","70:13:01:E4:B0:64",FAIR
"d8:9c:8e:00:57:2b","AC:DB:48:86:58:B4",POOR
"d8:9c:8e:00:57:35","0C:FE:7B:7C:9C:F4",POOR
"d8:9c:8e:00:57:6c","70:13:01:0A:C6:C8",FAIR
"d8:9c:8e:00:57:71","80:DA:C2:E4:EB:15",FAIR
"d8:9c:8e:00:57:bc","70:13:01:F9:CC:F4",POOR
"d8:9c:8e:00:57:c1","5C:7D:7D:52:18:68",POOR
"d8:9c:8e:00:57:c6","80:DA:C2:29:9F:90",POOR
"d8:9c:8e:00:57:cb","70:13:01:24:CB:B4",POOR
"d8:9c:8e:00:58:34","CC:F3:C8:67:4F:CC",FAIR
"d8:9c:8e:00:58:43","5C:7D:7D:24:F1:A9",POOR
"d8:9c:8e:00:58:89","40:0F:C1:DD:BB:08",GOOD
"d8:9c:8e:00:58:8e","C4:50:9C:74:E0:B4",FAIR
"d8:9c:8e:00:58:a2","40:75:C3:FB:71:CC",POOR
"d8:9c:8e:00:58:a7","70:13:01:83:CE:04",FAIR
"d8:9c:8e:00:58:bb","C4:50:9C:14:17:A8",GOOD
"d8:9c:8e:00:58:c0","D4:E2:CB:D2:9E:88",GOOD
"d8:9c:8e:00:58:c5","10:36:AA:08:D1:78",GOOD
"d8:9c:8e:00:58:d4","3C:2D:9E:DE:98:EC",POOR
"d8:9c:8e:00:58:de","E0:DB:D1:E9:A8:D0",POOR
"d8:9c:8e:00:58:e3","B8:5E:71:F8:2C:F4",POOR
"d8:9c:8e:00:58:f2","94:04:E3:86:BD:4C",GOOD
"d8:9c:8e:00:58:f7","B8:5E:71:F3:E9:8C",FAIR
"d8:9c:8e:00:59:29","E0:DB:D1:1F:BE:32",POOR
"d8:9c:8e:00:59:2e","94:04:E3:AA:DB:28",POOR
"d8:9c:8e:00:59:51","B8:5E:71:3A:8A:D9",GOOD
"d8:9c:8e:00:59:7e","F4:C1:14:6B:D9:9E",POOR
"d8:9c:8e:00:59:97","48:BD:CE:EC:C9:44",FAIR
"d8:9c:8e:00:59:ab","B8:5E:71:48:9D:51",POOR
"d8:9c:8e:00:59:ce","10:A7:93:05:85:58",FAIR
"d8:9c:8e:00:59:dd","1C:9E:CC:10:44:7E",FAIR
"d8:9c:8e:00:59:e7","80:DA:C2:8E:E6:54",GOOD
"d8:9c:8e:00:59:fb","48:4B:D4:6B:84:B1",FAIR
"d8:9c:8e:00:5a:05","1C:9D:72:02:81:D7",FAIR
"d8:9c:8e:00:5a:23","F8:D2:AC:04:32:D0",POOR
"d8:9c:8e:00:5a:32","1C:93:7C:C4:8D:67",POOR
"d8:9c:8e:00:5a:55","C4:4F:D5:FA:64:04",FAIR
"d8:9c:8e:00:5a:64","48:BD:CE:7F:05:54",GOOD
"d8:9c:8e:00:5a:78","5C:22:DA:3C:BB:BB",GOOD
"d8:9c:8e:00:5a:c8","B8:5E:71:F3:19:5C",GOOD
"d8:9c:8e:00:5a:d2","B8:5E:71:39:7E:79",POOR
"d8:9c:8e:00:5a:dc","80:DA:C2:78:8C:D4",FAIR
"d8:9c:8e:00:5a:e1","5C:22:DA:EC:CD:F0",GOOD
"d8:9c:8e:00:5a:eb","A8:70:5D:64:9E:0A",POOR
"d8:9c:8e:00:5a:f5","AC:DB:48:12:82:AE",FAIR
"d8:9c:8e:00:5a:fa","88:9E:68:6D:63:EA",POOR
"d8:9c:8e:00:5b:13","D4:E2:CB:DD:5E:E5",FAIR
"d8:9c:8e:00:5b:1d","CC:F3:C8:C3:AF:44",POOR
"d8:9c:8e:00:5b:45","0C:FE:7B:CB:51:F4",FAIR
"d8:9c:8e:00:5b:4a","10:A7:93:0A:F3:C8",FAIR
"d8:9c:8e:00:5b:72","10:A7:93:0A:33:38",GOOD
"d8:9c:8e:00:5b:86","80:DA:C2:10:13:6D",FAIR
"d8:9c:8e:00:5b:95","70:13:01:46:8A:FC",FAIR
"d8:9c:8e:00:5b:9a","1C:9E:CC:04:26:58",POOR
"d8:9c:8e:00:5b:9f","10:36:AA:76:9D:3C",FAIR
"d8:9c:8e:00:5b:a9","5C:7D:7D:84:10:AC",FAIR
"d8:9c:8e:00:5b:ae","F8:D0:0E:A9:8D:4C",EXCELLENT
"d8:9c:8e:00:5b:b3","48:BD:CE:FF:41:34",POOR
"d8:9c:8e:00:5b:b8","80:DA:C2:23:EE:D8",GOOD
"d8:9c:8e:00:5b:d6","F8:D0:0E:D2:6C:A4",GOOD
"d8:9c:8e:00:5b:f4","8C:6A:8D:60:65:F4",FAIR
"d8:9c:8e:00:5c:17","3C:2D:9E:86:35:A4",FAIR
"d8:9c:8e:00:5c:1c","CC:F3:C8:6D:EE:3C",POOR
"d8:9c:8e:00:5c:21","AC:DB:48:80:4A:0C",GOOD
"d8:9c:8e:00:5c:53","0C:FE:7B:AF:1B:DC",POOR
"d8:9c:8e:00:5c:58","10:36:AA:E7:4B:4C",FAIR
"d8:9c:8e:00:5c:62","B8:5E:71:37:89:59",EXCELLENT
"d8:9c:8e:00:5c:67","D4:6C:6D:9A:8E:3A",GOOD
"d8:9c:8e:00:5c:71","A8:70:5D:90:31:BE",EXCELLENT
"d8:9c:8e:00:5c:7b","D4:6C:6D:B3:F4:58",GOOD
"d8:9c:8e:00:5c:94","F8:D2:AC:AF:89:2D",GOOD
"d8:9c:8e:00:5c:ad","70:13:01:D5:94:34",FAIR
"d8:9c:8e:00:5c:c1","AC:4C:A5:AB:B8:30",FAIR
"d8:9c:8e:00:5c:c6","F8:D0:0E:65:08:BC",FAIR
"d8:9c:8e:00:5c:e9","94:F7:BE:8D:39:FA",FAIR
"d8:9c:8e:00:5d:02","E0:DB:D1:C8:3B:54",FAIR
"d8:9c:8e:00:5d:07","C4:4F:D5:D2:28:7C",POOR
"d8:9c:8e:00:5d:1b","C4:4F:D5:FE:43:04",GOOD
"d8:9c:8e:00:5d:25","48:4B:D4:73:D0:19",FAIR
"d8:9c:8e:00:5d:2a","A8:70:5D:C4:0F:35",POOR
"d8:9c:8e:00:5d:2f","40:0F:C1:C6:1D:94",FAIR
"d8:9c:8e:00:5d:34","10:36:AA:00:18:98",POOR
"d8:9c:8e:00:5d:43","A8:70:5D:59:55:8D",FAIR
"d8:9c:8e:00:5d:4d","CC:F3:C8:C7:36:0C",POOR
"d8:9c:8e:00:5d:7a","3C:2D:9E:EE:71:2C",POOR
"d8:9c:8e:00:5d:c0","40:75:C3:CF:71:AF",FAIR
"d8:9c:8e:00:5d:ca","C4:4F:D5:92:75:F4",GOOD
"d8:9c:8e:00:5d:cf","94:04:E3:FC:ED:9A",POOR
"d8:9c:8e:00:5d:e3","1C:9D:72:07:28:24",POOR
"d8:9c:8e:00:5e:01","5C:7D:7D:40:5A:F0",FAIR
"d8:9c:8e:00:5e:0b","AC:DB:48:DD:2D:C6",POOR
"d8:9c:8e:00:5e:10","48:BD:CE:82:62:74",EXCELLENT
"d8:9c:8e:00:5e:1a","40:75:C3:32:E2:BC",POOR
"d8:9c:8e:00:5e:2e","B8:5E:71:3F:CF:19",GOOD
"d8:9c:8e:00:5e:33","C4:4F:D5:03:B8:60",POOR
"d8:9c:8e:00:5e:5b","B8:A5:35:93:33:0E",FAIR
"d8:9c:8e:00:5e:60","F8:79:0A:2C:EA:76",EXCELLENT
"d8:9c:8e:00:5e:65","00:CB:7A:04:49:FD",POOR
"d8:9c:8e:00:5e:6f","B8:A5:35:96:A6:96",FAIR
"d8:9c:8e:00:5e:bf","C0:94:35:09:DF:9F",POOR
"d8:9c:8e:00:5e:c4","0C:FE:7B:A6:58:6C",POOR
"d8:9c:8e:00:5e:d8","8C:76:3F:24:7B:CD",FAIR
"d8:9c:8e:00:5e:e2","E4:BF:FA:86:5E:87",GOOD
"d8:9c:8e:00:5f:05","1C:9E:CC:25:86:7E",GOOD
"d8:9c:8e:00:5f:0a","10:A7:93:02:FA:68",FAIR
"d8:9c:8e:00:5f:14","F8:D0:0E:AB:6B:AC",FAIR
"d8:9c:8e:00:5f:28","10:36:AA:D0:FD:9C",POOR
"d8:9c:8e:00:5f:64","40:75:C3:E7:6C:44",POOR
"d8:9c:8e:00:5f:73","70:13:01:C8:FF:FC",POOR
"d8:9c:8e:00:5f:8c","AC:4C:A5:43:A8:3D",FAIR
"d8:9c:8e:00:5f:91","F8:D0:0E:06:5D:B8",POOR
"d8:9c:8e:00:5f:a0","10:A7:93:02:8F:60",POOR
"d8:9c:8e:00:5f:aa","80:DA:C2:F5:41:58",POOR
"d8:9c:8e:00:5f:b4","8C:6A:8D:4E:D3:0F",POOR
"d8:9c:8e:00:5f:d2","80:DA:C2:F5:1F:90",EXCELLENT
"d8:9c:8e:00:5f:fa","80:DA:C2:85:E2:DC",UNAVAILABLE
"d8:9c:8e:00:5f:ff","1C:9D:72:03:1B:9F",FAIR
"d8:9c:8e:00:60:22","94:04:E3:F9:E8:EA",POOR
"d8:9c:8e:00:60:3b","AC:DB:48:E7:FD:0C",FAIR
"d8:9c:8e:00:60:40","CC:F3:C8:72:04:04",POOR
"d8:9c:8e:00:60:45","C4:50:9C:2E:26:14",FAIR
"d8:9c:8e:00:60:72","F8:D0:0E:B4:40:A4",FAIR
"d8:9c:8e:00:60:7c","E0:DB:D1:C0:85:93",EXCELLENT
