"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:1e:2d","88:9E:68:72:93:DD",FAIR
"d8:9c:8e:00:1e:37","58:96:30:3F:C4:8C",EXCELLENT
"d8:9c:8e:00:1e:7d","10:36:AA:2C:E7:50",POOR
"d8:9c:8e:00:1e:d7","80:DA:C2:C4:E1:64",FAIR
"d8:9c:8e:00:1e:dc","C4:50:9C:73:0B:54",FAIR
"d8:9c:8e:00:1e:e6","1C:9E:CC:21:A8:54",FAIR
"d8:9c:8e:00:1e:eb","1C:9E:CC:21:B3:D4",FAIR
"d8:9c:8e:00:1e:f5","3C:2D:9E:8A:AC:60",POOR
"d8:9c:8e:00:1f:09","5C:22:DA:3D:1C:33",POOR
"d8:9c:8e:00:1f:22","48:BD:CE:FF:D4:A4",FAIR
"d8:9c:8e:00:1f:2c","A8:70:5D:BA:EB:37",FAIR
"d8:9c:8e:00:1f:4f","C4:50:9C:45:F3:CC",FAIR
"d8:9c:8e:00:1f:63","64:67:72:8F:5A:FE",FAIR
"d8:9c:8e:00:1f:6d","C4:50:9C:CA:0A:84",POOR
"d8:9c:8e:00:1f:81","1C:9E:CC:21:94:C4",EXCELLENT
"d8:9c:8e:00:1f:86","98:9D:5D:87:32:34",FAIR
"d8:9c:8e:00:1f:9f","AC:DB:48:04:CB:E4",POOR
"d8:9c:8e:00:1f:a4","1C:9E:CC:61:05:D4",EXCELLENT
"d8:9c:8e:00:1f:ae","1C:9E:CC:61:12:64",FAIR
"d8:9c:8e:00:1f:b8","1C:9E:CC:19:F2:15",POOR
"d8:9c:8e:00:1f:bd","1C:9D:72:2D:0D:04",POOR
"d8:9c:8e:00:1f:c2","10:36:AA:89:54:64",GOOD
"d8:9c:8e:00:1f:cc","1C:9E:CC:21:98:CC",FAIR
"d8:9c:8e:00:1f:d1","1C:9E:CC:21:B6:9C",GOOD
"d8:9c:8e:00:1f:d6","B8:5E:71:40:BB:B1",GOOD
"d8:9c:8e:00:1f:db","0C:FE:7B:C7:91:04",GOOD
"d8:9c:8e:00:1f:e0","5C:22:DA:3D:11:B3",POOR
"d8:9c:8e:00:1f:ef","F8:79:0A:4C:09:C5",EXCELLENT
"d8:9c:8e:00:1f:fe","B8:5E:71:42:AB:79",FAIR
